col ct 2,Collection,workID
1,Time Travel and World Travel,16342619
1,Xicheng Dongzhi Festival Exchange 2019,21849439
2,Lan Xichen's Birthday Week 2020 Collection,26709193
1,3zun Discord Collection,26834101
2,Time Travel and World Travel,20405932
1,Chocolate Box - Round 5,22590268
1,Shipoween 2019 - The Halloween Ship Exchange!,21043385
1,TWT FIC REC CHAT,23301232
3,Time Travel and World Travel,27528220
1,Mó Dào Zǔ Shī | The Untamed Kink Meme 2020,25999642
1,Mó Dào Zǔ Shī | The Untamed Kink Meme 2020,26554516
1,Mó Dào Zǔ Shī | The Untamed Kink Meme 2020,26556430
1,XiYao Month 01-31.07.2020,25631485
1,Jin Guangyao Month 01-29.02.2020,22759027
1,XiYao Month 01-31.07.2020,25122547
1,Mó Dào Zǔ Shī | The Untamed Kink Meme 2020,27515038
1,Xiyao Zero Pining Hours,26273809
1,Mó Dào Zǔ Shī | The Untamed Kink Meme 2020,25178368
1,Lan Huan Protection Squad,23421220
1,Mó Dào Zǔ Shī | The Untamed Kink Meme 2020,26499685
1,Mó Dào Zǔ Shī | The Untamed Kink Meme 2020,25597138
1,XiYao Month 01-31.07.2020,25620700
1,Mó Dào Zǔ Shī | The Untamed Kink Meme 2020,25391098
1,XiYao Month 01-31.07.2020,25278637
1,XiYao Month 01-31.07.2020,25286845
1,Whumptober 2020,27199726
1,XiYao Month 01-31.07.2020,25027426
1,The 2020 MXTX Exchange,24901066
1,XiYao Month 01-31.07.2020,25524202
2,XiYao Month 01-31.07.2020,25068769
1,Reincarnation and Transmigration,20415298
1,XiYao Month 01-31.07.2020,25051153
1,Mó Dào Zǔ Shī | The Untamed Kink Meme 2020,26051341
2,Mó Dào Zǔ Shī | The Untamed Kink Meme 2020,25580548
1,3zun Secret Santa 2020,28195347
3,The Untamed,23497162
2,Yi City 4 Xiyao Solidarity Write-In 2020,26714704
1,XiYao Month 01-31.07.2020,25027138
1,FLUFFEMBER2019,21325615
1,Whumptober 2020,27047140
1,XiYao Month 01-31.07.2020,25286146
2,Time Travel and World Travel,16236767
1,Mó Dào Zǔ Shī | The Untamed Kink Meme 2020,26164918
1,XiYao Month 01-31.07.2020,27605752
1,XiYao Month 01-31.07.2020,25234765
1,XiYao Month 01-31.07.2020,25275433
1,XiYao Month 01-31.07.2020,25158193
1,XiYao Month 01-31.07.2020,25101409
1,Lan Huan Protection Squad,23253811
1,3 Zun Week 2020,27116056
1,Yuletide 2019,21865843
1,Lan Xichen's Birthday Week 2020 Collection,26876098
2,An Untamed kinky good time,25414132
1,Yi City 4 Xiyao Solidarity Write-In 2020,26698396
1,Anonymous,24371689
1,Mó Dào Zǔ Shī | The Untamed Kink Meme 2020,25224853
1,Yi City 4 Xiyao Solidarity Write-In 2020,26692966
1,The Untamed - fav,24717139
2,XiYao Month 01-31.07.2020,25034254
1,XiYao Month 01-31.07.2020,25348384
1,XiYao Month 01-31.07.2020,25143745
1,Anonymous,24963208
1,CQL ficrecs for GC,24700882
1,Reincarnation and Transmigration,21460066
1,Yi City 4 Xiyao Solidarity Write-In 2020,26743267
2,Yi City 4 Xiyao Solidarity Write-In 2020,26714254
1,MXTX Polyamory Flash Exchange 2020,27507778
1,XiYao Month 01-31.07.2020,25384027
2,Mó Dào Zǔ Shī | The Untamed Kink Meme 2020,26122219
1,XiYao Month 01-31.07.2020,25244206
1,3 Zun Week 2020,27060811
1,Xiyao Zero Pining Hours,25541806
1,XiYao Month 01-31.07.2020,25419646
2,Scfavoritesofmine,20405932
2,Anodyne fics,23696347
1,XiYao Month 01-31.07.2020,25549876
1,Mó Dào Zǔ Shī | The Untamed Kink Meme 2020,26317255
1,Mó Dào Zǔ Shī | The Untamed Kink Meme 2020,27272767
1,The Untamed x Modào Zushi,21791407
2,MXTX Reverse Big Bang 2019,21784354
1,XiYao Month 01-31.07.2020,25028518
1,XiYao Month 01-31.07.2020,25046020
2,Favourite The Untamed Fics,22108834
2,Reincarnation and Transmigration,25015321
1,Reincarnation and Transmigration,26728939
1,Reincarnation and Transmigration,25067791
2,3 Zun Week 2020,27115999
1,XiYao Month 01-31.07.2020,25083184
2,Reincarnation and Transmigration,22325365
1,XiYao Month 01-31.07.2020,26235574
2,Scfavoritesofmine,19975780
1,GRAPEJIUJIUCING,24039511
1,☆’･ﾟ:*:･｡jin  siblings｡･:*:･ﾟ’★,23592844
1,XiYao Month 01-31.07.2020,25044073
2,anonymous,27624017
1,XiYao Month 01-31.07.2020,25129813
1,wwx said trans rights!,23327434
1,Mó Dào Zǔ Shī | The Untamed Kink Meme 2020,26450551
1,Level 2 Quest 2: Визуал от G до T 2020,25271929
1,Time Travel and World Travel,23611369
1,Mó Dào Zǔ Shī | The Untamed Kink Meme 2020,26375692
1,Reincarnation and Transmigration,17497925
1,XiyaoBlackMoon,27259213
1,Mó Dào Zǔ Shī | The Untamed Kink Meme 2020,26381290
1,Mó Dào Zǔ Shī | The Untamed Kink Meme 2020,25976752
2,Best of WangXian,23327740
1,Anonymous,22154998
1,Mó Dào Zǔ Shī | The Untamed Kink Meme 2020,27329128
2,TWT FIC REC CHAT,22108834
2,Reincarnation and Transmigration,25034254
2,XiYao Month 01-31.07.2020,25015321
1,Peony Pages - MDZS Juniors,21580930
1,Yi City 4 Xiyao Solidarity Write-In 2020,26726881
1,Scfavoritesofmine,23576455
1,Short XiCheng Fanfics,22228672
1,Mó Dào Zǔ Shī | The Untamed Kink Meme 2020,25118428
1,Parallels Fanworks Exchange 2019,20096356
1,Lan Huan Protection Squad,23301781
1,XiYao Month 01-31.07.2020,25477318
1,Lan Huan Protection Squad,23301841
2,Mó Dào Zǔ Shī | The Untamed Kink Meme 2020,26961205
1,BUT WHAT ABOUT QIN SU?????,26324638
2,3zun Discord Collection,27115999
1,Mó Dào Zǔ Shī | The Untamed Kink Meme 2020,26484937
1,Kinktober 2019,20845334
1,The 2020 MXTX Exchange,24972604
1,Mó Dào Zǔ Shī | The Untamed Kink Meme 2020,26146465
1,Yi City 4 Xiyao Solidarity Write-In 2020,26726410
1,XiYao Month 01-31.07.2020,25064869
1,Lan Huan Protection Squad,23278804
1,Lan Huan Protection Squad,23241757
1,XiYao Month 01-31.07.2020,25229719
2,Reincarnation and Transmigration,19975780
1,Mó Dào Zǔ Shī | The Untamed Kink Meme 2020,25102783
1,Mó Dào Zǔ Shī | The Untamed Kink Meme 2020,25881214
2,3zun Discord Collection,27086830
1,3 Zun Week 2019,20611592
1,SPS Tag Flood: Modern Cultivation AU,25762993
1,☆’･ﾟ:*:･｡jin  siblings｡･:*:･ﾟ’★,25773439
1,Mó Dào Zǔ Shī | The Untamed Kink Meme 2020,25396042
1,魔道祖师/Grandmaster of Demonic Cultivation,17922374
2,SVSSS/MDZS/TGCF,22325365
1,XiYao Month 01-31.07.2020,25435786
1,Jin Guangyao Month 01-29.02.2020,22615195
1,The 2020 MXTX Exchange,24941629
1,XiYao Month 01-31.07.2020,25313890
1,Xiyao Zero Pining Hours,25530244
1,Yi City 4 Xiyao Solidarity Write-In 2020,26732236
1,Different Starts for our Beloved Gremlins,23530627
2,Waitingforupdatessc,25068769
1,Lan Huan Protection Squad,23283484
1,XiYao Month 01-31.07.2020,25207105
1,XiYao Month 01-31.07.2020,25407265
1,Whumptober 2020,27195194
1,Jin Guangyao Month 01-29.02.2020,22724368
1,XiYao Month 01-31.07.2020,25196434
2,BUT WHAT ABOUT QIN SU?????,26961205
2,Jin Guangyao Month 01-29.02.2020,22511230
1,Peony Pages - MDZS Juniors,24417580
1,Jiang Cheng Love Month 2020,27434845
1,XiyaoBlackMoon,27213328
1,Yi City 4 Xiyao Solidarity Write-In 2020,26729485
1,XiYao Month 01-31.07.2020,25100503
1,XiYao Month 01-31.07.2020,25071568
1,mdzs/cql fave fics (completed),22976803
1,Lan Huan Protection Squad,23278018
1,Jin Guangyao Month 01-29.02.2020,22869058
1,XiYao Month 01-31.07.2020,25176229
1,Time Travel and World Travel,20216506
1,XiYao Month 01-31.07.2020,25080262
3,Storycatchers' cultivation stories,19227964
2,魔道祖师/Grandmaster of Demonic Cultivation,21784354
1,Xiyao Zero Pining Hours,25598341
1,SVSSS/MDZS/TGCF,19069612
1,XiYao Month 01-31.07.2020,25334776
1,The 2020 MXTX Exchange,24932866
1,The 2020 MXTX Exchange,24953650
1,3zun Discord Collection,26195260
1,XiYao Month 01-31.07.2020,25511182
2,Mòxiāng Tóngxiù (墨香铜臭) based fics,27274081
1,XiYao Month 01-31.07.2020,25034119
1,XiYao Month 01-31.07.2020,25230655
1,Mó Dào Zǔ Shī | The Untamed Kink Meme 2020,26523874
1,XiYao Month 01-31.07.2020,25651525
1,Mó Dào Zǔ Shī | The Untamed Kink Meme 2020,27601052
1,XiyaoBlackMoon,27251878
1,3zun Discord Collection,26170816
1,MXTX Bang 2019,22646980
1,XiYao Month 01-31.07.2020,25121191
1,XiyaoBlackMoon,27244366
1,Wei_lan,26446741
1,Jin Guangyao Month 01-29.02.2020,22232680
1,XiYao Month 01-31.07.2020,25157065
1,Lan Huan Protection Squad,23255434
1,Mó Dào Zǔ Shī | The Untamed Kink Meme 2020,26964289
2,Mó Dào Zǔ Shī | The Untamed Kink Meme 2020,26718181
1,Mó Dào Zǔ Shī | The Untamed Kink Meme 2020,27550039
1,Mó Dào Zǔ Shī | The Untamed Kink Meme 2020,27771220
1,Reincarnation and Transmigration,23324395
1,Lan Huan Protection Squad,23423137
2,MDZS Monster Love,27344323
2,BUT WHAT ABOUT QIN SU?????,26446948
3,魔道祖师/Grandmaster of Demonic Cultivation,27528220
1,Nonconathon 2020,24782392
1,filled the CQL-shaped hole in my heart,21658114
1,XiYao Month 01-31.07.2020,25524361
1,Darkest Night 2020,26568670
3,Favorite the Untamed/Mo Dao Zu Shi,23497162
1,XiYao Month 01-31.07.2020,25147819
1,Mó Dào Zǔ Shī | The Untamed Kink Meme 2020,27298078
2,Mó Dào Zǔ Shī | The Untamed Kink Meme 2020,26714254
3,Mó Dào Zǔ Shī | The Untamed Kink Meme 2020,25245829
1,Mó Dào Zǔ Shī | The Untamed Kink Meme 2020,27477580
1,XiYao Month 01-31.07.2020,25611052
1,XiYao Month 01-31.07.2020,25578565
1,mdzs fics !!!,22870765
1,XiyaoBlackMoon,27258808
1,XueXiao Mystery Valentine 2020,22692427
1,XiYao Month 01-31.07.2020,25057753
1,3zun Secret Santa 2020,28196847
1,FLUFFEMBER2019,21630784
1,FLUFFEMBER2019,21918181
1,XiYao Month 01-31.07.2020,25257796
1,XiYao Month 01-31.07.2020,25669123
1,Lan Xichen's Birthday Week 2020 Collection,26890633
2,XiyaoBlackMoon,27245914
2,Different Starts for our Beloved Gremlins,23248765
1,XiYao Month 01-31.07.2020,25062889
1,Jin Guangyao Month 01-29.02.2020,22611412
1,Dark MXTX Month,26957845
1,Jin Guangyao Month 01-29.02.2020,22777420
1,Lan Huan Protection Squad,23470429
3,Anonymous,25245829
1,XiYao Month 01-31.07.2020,25504999
3,AsianDramas,27528220
1,Jin Guangyao Month 01-29.02.2020,22685005
1,Egg Family Fic Téléphone,26025496
1,XiYao Month 01-31.07.2020,25368277
1,Lan Huan Protection Squad,23273674
1,Anonymous,25604389
2,Mó Dào Zǔ Shī | The Untamed Kink Meme 2020,25414132
1,Anonymous,18594394
1,XiYao Month 01-31.07.2020,25461511
1,CQL ficrecs for GC,24689971
1,3zun Discord Collection,26716633
1,3zun Discord Collection,26419084
1,XiYao Month 01-31.07.2020,25089505
1,Wei Wuxian's Birthday Gift Exchange,27274051
1,SVSSS/MDZS/TGCF,18901699
1,Yi City 4 Xiyao Solidarity Write-In 2020,26745085
1,Xiyao Zero Pining Hours,25578469
1,BUT WHAT ABOUT QIN SU?????,26220511
1,☆’･ﾟ:*:･｡jin  siblings｡･:*:･ﾟ’★,26533249
1,XiyaoBlackMoon,27236854
2,3zun Discord Collection,27344323
1,Anonymous,20828150
1,Mó Dào Zǔ Shī | The Untamed Kink Meme 2020,26029909
1,Writer's Month 2019,20250541
1,Mó Dào Zǔ Shī | The Untamed Kink Meme 2020,26449504
1,XiYao Month 01-31.07.2020,25440703
1,Mó Dào Zǔ Shī | The Untamed Kink Meme 2020,27596825
1,XiYao Month 01-31.07.2020,25254832
1,Anonymous Fics,25342639
3,Fics that keep me up,19227964
1,[MDZS] *Ship Trinity* [XiYao_WangXian_XueXiao],20016826
1,Out Of The Auditary 2020,23354797
1,[MDZS] *Ship Trinity* [XiYao_WangXian_XueXiao],18418394
1,XiYao Month 01-31.07.2020,25645927
2,Different Starts for our Beloved Gremlins,22511230
1,Mó Dào Zǔ Shī | The Untamed Kink Meme 2020,26199382
1,Yi City 4 Xiyao Solidarity Write-In 2020,26684116
1,wwx said trans rights!,24127819
1,XiYao Month 01-31.07.2020,26368450
1,Jiang Cheng Love Month 2020,27327091
1,Mó Dào Zǔ Shī | The Untamed Kink Meme 2020,25809859
2,BUT WHAT ABOUT QIN SU?????,26714704
1,XiYao Month 01-31.07.2020,25214296
1,MXTX Creative Space Secret Santa 2019,21939784
1,Wangxian Week 2020,17763065
2,Violeta's Good Ones,23696347
1,#ficwip,20837000
1,Lan Huan Protection Squad,23262541
1,Lovemail wangxian+fan back,25387912
1,3 Zun Week 2019,21022679
2,Waitingforupdatessc,23327740
1,☆’･ﾟ:*:･｡jin  siblings｡･:*:･ﾟ’★,26855329
1,XiyaoBlackMoon,27225916
1,MDZS - Seasons Zine,22531450
1,XiYao Month 01-31.07.2020,25562353
1,Chengyi Harvest Festival 2020,27104590
1,TWT FIC REC CHAT,21019697
1,Songxuexiao Exchange 2020,28061556
1,Time Travel and World Travel,22849108
1,Anonymous,24848059
1,WangXian,26587456
1,XiYao Month 01-31.07.2020,25623337
1,XiYao Month 01-31.07.2020,25161826
3,Mo Dao Zu Shi and The Untamed,23497162
1,XiYao Month 01-31.07.2020,25533481
1,XiYao Month 01-31.07.2020,25128967
1,3 Zun Week 2020,27075589
1,Xisang week 2020,27056068
1,Time Travel and World Travel,17508959
1,Jin Guangyao Month 01-29.02.2020,22965787
1,3zun Secret Santa 2020,28150977
2,Time Travel and World Travel,23322637
2,The Untamed,27274081
3,Magister,21029582
1,XiyaoBlackMoon,27323059
1,T/CBL,24451402
1,Out Of The Auditary 2020,23265517
1,XiYao Month 01-31.07.2020,25587073
3,Worm Writing,25245829
1,XiYao Month 01-31.07.2020,25469824
1,MXTX Polyamory Flash Exchange 2020,27465697
1,XiYao Month 01-31.07.2020,25490239
1,XiYao Month 01-31.07.2020,25594696
2,Yi City 4 Xiyao Solidarity Write-In 2020,26718181
2,An Untamed kinky good time,25580548
2,Yi City 4 Xiyao Solidarity Write-In 2020,26709193
1,Pod_O_Ween 2020,27282739
1,Wei Wuxian's Birthday Gift Exchange,27277624
1,The 2020 MXTX Exchange,24974323
1,Mó Dào Zǔ Shī | The Untamed Kink Meme 2020,25267483
1,Mó Dào Zǔ Shī | The Untamed Kink Meme 2020,27570199
1,XiYao Month 01-31.07.2020,25363996
1,Lan Huan Protection Squad,23312191
2,Violeta's Good Ones,23322637
1,XiYao Month 01-31.07.2020,25626775
1,XiYao Month 01-31.07.2020,25111774
1,Anonymous,24509539
1,MXTX Polyamory Flash Exchange 2020,27602453
1,XiYao Month 01-31.07.2020,25176727
3,3 Zun Week 2019,21029582
1,XiYao Month 01-31.07.2020,25050553
3,Best Across Fandoms,19227964
1,MXTX Reverse Big Bang 2019,21633601
1,Mó Dào Zǔ Shī | The Untamed Kink Meme 2020,25691596
1,XiYao Month 01-31.07.2020,27596393
1,Wei Wuxian's Birthday Gift Exchange,27283078
1,Reincarnation and Transmigration,23602981
1,filled the CQL-shaped hole in my heart,25384693
1,XiYao Month 01-31.07.2020,25044187
1,3 Zun Week 2019,21060890
1,Reincarnation and Transmigration,25010002
1,Mó Dào Zǔ Shī | The Untamed Kink Meme 2020,25992634
1,Big Dick Ass Immortal Way,23484442
1,Mó Dào Zǔ Shī | The Untamed Kink Meme 2020,25899742
1,Kinktober 2019,21115121
1,Whumptober 2020,27149332
1,XiYao Month 01-31.07.2020,25408843
1,XiYao Month 01-31.07.2020,25086343
1,XiYao Month 01-31.07.2020,25067686
1,XiYao Month 01-31.07.2020,25312603
1,BUT WHAT ABOUT QIN SU?????,26076175
1,Reincarnation and Transmigration,23221654
1,3zun Secret Santa 2020,28201044
1,Wei Wuxian's Birthday Gift Exchange,27279745
1,Mó Dào Zǔ Shī | The Untamed Kink Meme 2020,25279510
2,MDZS/CQL Rarepairs Exchange 2020,27624017
1,3 Zun Week 2020,27128461
1,Lock Down Fest,23263741
1,Time Travel and World Travel,20850686
2,NieYao Month,26122219
1,XiYao Month 01-31.07.2020,25154794
1,New Canon+,21707392
1,Mó Dào Zǔ Shī | The Untamed Kink Meme 2020,26126251
1,XiYao Month 01-31.07.2020,24943630
1,Lan Huan Protection Squad,23266966
1,anonymous,23532052
2,MDZS Monster Love,27086830
1,XiYao Month 01-31.07.2020,25017751
1,XiYao Month 01-31.07.2020,25020049
1,Yi City 4 Xiyao Solidarity Write-In 2020,26746033
1,XiYao Month 01-31.07.2020,25177684
1,Trick or Treat Exchange 2020,27183508
1,XiYao Month 01-31.07.2020,24969166
1,3zun Discord Collection,26289127
1,3zun Secret Santa 2020,28207344
1,XiYao Month 01-31.07.2020,25106338
1,XiYao Month 01-31.07.2020,25059958
1,XiYao Month 01-31.07.2020,25014622
1,the_collection,27660665
1,why im sleep deprived 💖✨,17339441
1,Mó Dào Zǔ Shī | The Untamed Kink Meme 2020,25017721
1,The 2020 MXTX Exchange,24906283
1,XiYao Month 01-31.07.2020,25509805
1,Mó Dào Zǔ Shī | The Untamed Kink Meme 2020,26025709
2,Mó Dào Zǔ Shī | The Untamed Kink Meme 2020,27245914
1,☆’･ﾟ:*:･｡jin  siblings｡･:*:･ﾟ’★,24466360
1,Octobercest 2020!,26884240
1,XiYao Month 01-31.07.2020,25008775
1,Reincarnation and Transmigration,23334937
1,Lan Xichen's Birthday Week 2020 Collection,26890612
1,XiYao Month 01-31.07.2020,25642540
1,Mó Dào Zǔ Shī | The Untamed Kink Meme 2020,25659553
1,T/CBL,24481690
1,Lan Xichen's Birthday Week 2020 Collection,26836177
1,Trick or Treat Exchange 2019,21149351
2,[MDZS] *Ship Trinity* [XiYao_WangXian_XueXiao],23280202
2,why im sleep deprived 💖✨,23248765
1,Mó Dào Zǔ Shī | The Untamed Kink Meme 2020,26866636
1,XiYao Month 01-31.07.2020,25262059
1,Modern WangXian,18743161
1,Lan Xichen's Birthday Week 2020 Collection,26831551
2,Mó Dào Zǔ Shī | The Untamed Kink Meme 2020,26446948
1,XiYao Month 01-31.07.2020,25165135
1,Peony Pages - MDZS Juniors,21603607
1,Sangcheng Valentine’s Day 2020,22716283
1,Kinktober 2020,26842384
1,Mó Dào Zǔ Shī | The Untamed Kink Meme 2020,26046058
1,XiYao Month 01-31.07.2020,25338007
3,Scfavoritesofmine,21029582
2,Lan Huan Protection Squad,23280202
1,Lan Huan Protection Squad,23356627
1,3 Zun Week 2020,27063178
1,@wangxianfics tumblr archive collection,21771577
1,XiYao Month 01-31.07.2020,25100854
1,XiYao Month 01-31.07.2020,25391197
2,AsianDramas,16236767
1,The 2020 MXTX Exchange,24973318
1,Loving Jin Ling hours,27605353
1,Reincarnation and Transmigration,22566421
1,Recommended XiYao Fics,26025859
